Time, Motor A Speed, Motor A Dir, Motor B Speed, Motor B Dir, Servo Rail Current Sensor, Servo Pos - Arm L, Servo Pos - Arm R, Servo Pos - End, Servo Pos - Hopper, Servo Pos - Lid, Servo Pos - Extra, Servo Current, LED - Front L, LED - Front R, LED - Back L, LED - Back R, IMU Pitch, IMU Roll, IMU Yaw, Compass Heading, GPS Sats, GPS Latitude, GPS Longitude, GPS Altitude, GPS Speed, GPS Angle, GPS HDOP, GPS VDOP, GPS PDOP, Battery, Wind, Comm Xbee Latency, Comm Arduino Latency, Pressure, Humidity, Temperature, uRADMonitor
16:18:18,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4061966,-110.7922440,1364.8000488,0.0,227.7,1.0,0.0,0.0,891,159,0,0,855.58,10.39,28.33,0
16:18:19,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4061966,-110.7922440,1364.8000488,0.1,335.6,1.0,0.0,0.0,892,153,0,0,855.62,10.39,28.34,0
16:18:20,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4061966,-110.7922440,1364.8000488,0.1,342.1,1.0,0.0,0.0,892,151,0,0,855.55,10.42,28.35,0
16:18:21,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4061966,-110.7922440,1364.8000488,0.1,6.6,1.0,0.0,0.0,892,149,0,0,855.61,10.36,28.36,0
16:18:22,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4062004,-110.7922440,1364.8000488,0.2,23.5,1.1,0.0,0.0,891,150,0,0,855.59,10.36,28.38,0
16:18:23,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4062004,-110.7922440,1364.8000488,0.3,34.0,1.0,0.0,0.0,891,141,0,0,855.53,10.35,28.40,0
16:18:24,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4062004,-110.7922440,1364.8000488,0.2,30.1,1.0,0.0,0.0,892,142,0,0,855.60,10.36,28.42,0
16:18:25,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4062004,-110.7922440,1364.8000488,0.2,32.9,1.0,0.0,0.0,892,147,0,0,855.58,10.36,28.43,0
16:18:26,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4062042,-110.7922440,1364.8000488,0.1,28.0,1.0,0.0,0.0,892,160,0,0,855.61,10.33,28.43,0
16:18:27,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4062042,-110.7922440,1364.8000488,0.1,25.5,1.0,0.0,0.0,890,160,0,0,855.61,10.35,28.43,0
16:18:28,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4062042,-110.7922440,1364.8000488,0.1,33.8,1.0,0.0,0.0,891,153,0,0,855.60,10.36,28.42,0
16:18:29,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4062042,-110.7922440,1364.8000488,0.2,23.5,1.0,0.0,0.0,892,147,0,0,855.63,10.35,28.41,0
16:18:30,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4062042,-110.7922440,1364.8000488,0.1,357.1,1.0,0.0,0.0,891,151,0,0,855.73,10.38,28.41,0
16:18:31,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4062042,-110.7922440,1364.8000488,0.1,356.3,1.1,0.0,0.0,891,161,0,0,855.59,10.45,28.37,0
16:18:32,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4062080,-110.7922440,1364.8000488,0.1,295.7,1.1,0.0,0.0,892,161,0,0,855.49,10.47,28.35,0
16:18:33,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4062080,-110.7922440,1364.8000488,0.1,249.1,1.0,0.0,0.0,892,161,0,0,855.52,10.45,28.33,0
16:18:34,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4062080,-110.7922440,1364.8000488,0.1,218.4,1.0,0.0,0.0,892,168,0,0,855.76,10.54,28.22,0
